"source","target"
"<i>Notify</i>’s real-time dashboard lets you check when your message was delivered. You can also check the status of your messages","Le tableau de bord en temps réel de <i>Notification</i> vous permet de vérifier si votre message a été livré. Vous pouvez aussi vérifier l'état de vos messages."
"For","Pour des questions de"
"this information is only available for 7 days after a message has been sent. You can download a report, including a list of sent messages, for your own records.","ces renseignements sont seulement disponibles pendant 7 jours après qu’un message a été envoyé. Vous pouvez télécharger un rapport, y compris une liste des messages envoyés, pour vos dossiers."
"A picture of the sending flow of messages in <i>Notify</i>, showing the three states of Sending, Delivered, and Failed. Also shows the next steps when messages fail, deleting data and trying a new method for permanent failures, and trying again or trying a new method for temporary failures","Une image du flux d’envoi de messages dans <i>Notification</i>, affichant les trois états : envoi en cours, livraison réussie et échec. Affiche également les prochaines étapes lorsque l'envoi des messages échoue : supprimer les données et essayer une nouvelle méthode lors d'échecs permanents, et essayer de nouveau ou essayer une nouvelle méthode lors d'échecs temporaires."
"Types of message status","Types d'états des messages"
"<i>Notify</i> has the following types of message status (API message status may be different and is found in","<i>Notification</i> comprend les types suivants d'état des messages (les états des messages d'API pourraient être différents et se trouvent dans"
"technical documentation",""
"Emails","Courriels"
"Message statuses – emails","États des messages - courriels"
"<i>Notify</i> has sent the message to the email provider.","<i>Notification</i> a envoyé le message au fournisseur de messagerie."
"The message was successfully delivered. <i>Notify</i> will not tell you if a user has opened or read a message.","Le message a été livré avec succès. <i>Notification</i> ne vous informera pas si un utilisateur a ouvert ou lu un message."
"Email address does not exist","L’adresse courriel n’existe pas"
"The provider could not deliver the message because the email address was wrong. You should remove this email address from your database.","Le fournisseur n'a pas pu livrer le message puisque l’adresse courriel était erronée. Vous devriez supprimer cette adresse courriel de votre base de données."
"The provider could not deliver the message after trying for 72 hours. This can happen when the recipient’s inbox is full. You can try to send the message again.","Le fournisseur n’a pas réussi à livrer le message après avoir essayé pendant 72 heures. Cela peut se produire si la boîte de réception du destinataire est pleine. Vous pouvez essayer d’envoyer le message de nouveau."
"There was a connection problem between <i>Notify</i> and the email provider. You’ll have to try sending your messages again.","Il y a eu un problème de connexion entre <i>Notification</i> et le fournisseur de messagerie. Vous devrez essayer d’envoyer vos messages de nouveau."
"Text messages","Messages texte"
"Message statuses – text messages","États des messages – messages texte"
"<i>Notify</i> has sent the message to the cellular provider.","<i>Notification</i> a envoyé le message au fournisseur de téléphonie cellulaire."
"Sent internationally","Envoyé à l’international"
"The message was sent to an international number. The mobile networks in some countries do not provide any more delivery information.","Le message a été envoyé à un numéro international. Les réseaux mobiles de certains pays ne fournissent pas d’autres renseignements sur la livraison."
"Phone number does not exist","Le numéro de téléphone n’existe pas"
"The provider could not deliver the message because the phone number was wrong. You should remove this phone number from your database. You’ll still be charged for text messages to numbers that do not exist.","Le fournisseur n'a pas pu livrer le message parce que le numéro de téléphone était erroné. Vous devriez supprimer ce numéro de téléphone de votre base de données. Les messages texte envoyés aux numéros qui n’existent pas vous seront tout de même facturés."
"The provider could not deliver the message after trying for 72 hours. This can happen when the recipient’s phone is off. You can try to send the message again. You’ll still be charged for text messages to phones that are not accepting messages.","Le fournisseur n'a pas pu livrer le message après avoir essayé pendant 72 heures. Cela peut se produire si le téléphone du destinataire est éteint. Vous pouvez essayer d’envoyer le message de nouveau. Les messages texte qui ont été envoyés aux téléphones qui n’acceptent pas de messages vous seront tout de même facturés."
"There was a connection problem between <i>Notify</i> and the cellular provider. You’ll have to try sending your message again. You will not be charged for text messages that are affected by a technical failure.","Il y a eu un problème de connexion entre <i>Notification</i> et le fournisseur de téléphonie cellulaire. Vous devrez essayer d’envoyer votre message de nouveau. Les messages texte qui sont affectés par une défaillance technique ne vous seront pas facturés."
"You can now create a new password for your account.","Vous pouvez maintenant créer un nouveau mot de passe pour votre compte."
"At least 8 characters","Au moins 8 caractères"
"Message about email address does not exist. Some one needs to figure out the words here."," "
"Search","Chercher"
"Data available for","Données disponibles pendant"
"days","jours"
"Click the link in the email to reset your password.","Cliquez sur le lien dans le courriel pour réinitialiser votre mot de passe."
"Privacy notice: how we use your data","Avis de confidentialité : comment nous utilisons vos données"
"GOV.UK developed the","GOV.UK a développé le"
"original notification system","système de notification original (en anglais)"
"and its UK","et les"
"privacy protections","protections de la vie privée propres au Royaume-Uni (en anglais)"
"The Notification team is reviewing privacy requirements under the","L’équipe de <i>Notification</i> examine les exigences relatives à la vie privée aux termes de la"
"https://laws-lois.justice.gc.ca/eng/acts/P-21/index.html","https://laws-lois.justice.gc.ca/fra/lois/P-21/index.html"
"Privacy Act","<i>Loi sur la protection des renseignements personnels</i>"
"If your service has specific privacy needs, ","Si votre service a des besoins particuliers en matière de protection de la vie privée, "
"please let us know","veuillez nous en informer"
"Your account will be created with this email address:","Votre compte sera créé avec cette adresse courriel :"
"We’ll send you a security code by text message","Nous vous enverrons un code de sécurité par message texte."
"Your account will be created with this email:","Votre compte sera créé avec cette adresse courriel :"
"Must be a federal government email address","Veuillez entrer une adresse courriel du gouvernement fédéral."
"You're creating an account for <i>Notify</i>, so you can choose to stop using it at any time for any reason","Vous créez un compte pour <i>Notification</i>, vous pouvez donc choisir d'arrêter de l'utiliser à tout moment et pour n'importe quelle raison."
"We (the Canadian Digital Service) will make sure your data and correspondence are confidential, which means they will not be linked back to anyone","Nous (le Service numérique canadien) veillerons à ce que vos données et vos correspondances soient confidentielles, ce qui signifie qu'elles ne seront pas reliées à qui que ce soit"
"Your participation will not impact your relationship with the Canadian Digital Service or any part of the Government of Canada.","Votre participation n'aura aucune incidence sur votre relation avec le Service numérique canadien ou toute autre partie du gouvernement du Canada."
"Please read our <a href='https://digital.canada.ca/legal/privacy'>Privacy Statement</a>. We handle all personal information in accordance with the Privacy Act.","Veuillez lire notre <a href='https://numerique.canada.ca/transparence/confidentialite/'>Déclaration de confidentialité</a>. Nous traitons tous les renseignements personnels conformément à la Loi sur la protection des renseignements personnels."
"Click the link in the email to continue your registration.","Cliquez sur le lien dans le courriel pour continuer votre inscription."
"A new confirmation email has been sent to","Un nouveau courriel de confirmation a été envoyé à"
"Roadmap","Feuille de route"
"Coming soon","À venir bientôt"
"Optional","Facultatif"
"Choose a file","Choisir un fichier"
"Your file needs to look like this example","Votre fichier doit ressembler à cet exemple :"
"Save your file as a","Enregistrez votre fichier comme tableur, en format"
"Comma Separated Values","Valeurs séparées par des virgules"
"Tab Separated Values","Valeurs séparées par des onglets"
"CSV","CSV"
"TSV","TSV"
"ODS","ODS"
"Example","Exemple"
"Download this example","Télécharger cet exemple"
"Your file will populate this template","Votre fichier remplira ce gabarit"
"General","Général"
"Label","Étiquette"
"Value","Valeur"
"Action","Action"
"Login method","Méthode de connexion"
"Email link or text message code","Lien courriel ou code par message texte"
"Contact details","Coordonnées"
"Email settings","Paramètres du courriel"
"Send emails","Envoyer des courriels"
"Reply-to email addresses","Adresses courriel de réponse"
"Not set","Non défini"
"Manage","Configurer"
"Email branding","Image de marque du courriel"
"Your branding<br> ({})","Votre image de marque <br>({})"
"Text message settings","Paramètres du message texte"
"Send text messages","Envoyer des messages texte"
"Text message senders","Expéditeurs de messages texte"
"Start text messages with service name","Commencez les messages texte par le nom du service"
"Send international text messages","Envoyer des messages texte internationaux"
"Receive text messages","Recevoir des messages texte"
"Your service is in trial mode","Votre service est en mode d’essai"
"you can only send messages to yourself","Vous ne pouvez envoyer des messages qu’à vous-même"
"you can add people to your team, then you can send messages to them too","Vous pouvez ajouter des personnes à votre équipe, puis aussi leur envoyer des messages"
"you can only send","Vous ne pouvez envoyer que"
"To remove these restrictions, you can","Pour éliminer ces restrictions, vous pouvez"
"Your service manager can ask to have these restrictions removed.","Votre gestionnaire de service peut faire une demande de retrait de ces restrictions."
"Your service is live","Votre service est en fonction"
"You can send up to","Vous pouvez envoyer jusqu’à"
"messages per day.","messages par jour."
"Problems or comments?","Problèmes ou commentaires?"
"Platform admin settings","Paramètres de l’administrateur de la plateforme"
"Live","En service"
"No (organisation must be set first)","Non (l'organisation doit être définie d’abord)"
"Count in list of live services","Compte dans la liste de services en fonction"
"Organisation","Organisation"
"Free text message allowance","Nombre de messages texte gratuits"
"Letter branding","Image de marque de la lettre"
"Data retention","Rétention des données"
"{}",""
"Delete this service","Supprimer le service"
"Suspend service","Interrompre le service"
"Service suspended","Service interrompu"
"Resume service","Reprendre le service"
"Notify lets you send emails and text messages to your users","<i>Notification</i> vous permet d'envoyer des courriels et des messages texte à vos utilisateurs"
"e-notify, e notify, Enotify, gc notify, notify, canada notify, canada email, email notifications, Government of Canada, federal government, Canada SMS, Canada Notification service","e-notify, e notify, Enotify, gc notification, notification, canada notification, canada courriel, notifications courriel, Gouvernement du Canada, gouvernment fédéral, Canada SMS, Service de Notification Canada"
"Notify | Notification","Notify | Notification"
"Notify","Notification"
"Send service updates by email and text message","Envoyez des mises à jour de service par courriel et message texte"
"Try out <i>Notify</i>, a new messaging platform for the Government of Canada.","Essayez <i>Notification</i>, une nouvelle plateforme de messagerie pour le gouvernement du Canada."
"A platform built for government","Une plateforme conçue pour le gouvernement"
"Send emails or text messages to keep the public informed and make your services more transparent.","Envoyez des courriels ou des messages texte pour tenir le public informé et rendre vos services plus transparents."
"Use templates for easy, consistent, and accessible communications.","Utilisez des gabarits pour communiquer de façon simple, uniforme et accessible."
"Learn more about <i>Notify</i>","En savoir plus sur <i>Notification</i>"
"<i>Notify</i> is built for you","<i>Notification</i> est conçu pour vous"
"Staff who regularly write and send service updates wishing to upgrade the tools used to communicate with the public","Pour les employés écrivant et envoyant des mises à jour de service destinées au public"
"Developers working on improving workflow and tooling for public servants","Pour les développeurs travaillant à l’amélioration des processus de travail et des outils pour les fonctionnaires"
"Administrators who have to meet departmental service standards for communication","Pour les administrateurs devant respecter les normes de service ministérielles de leurs communications"
"What you can do with <i>Notify</i>","Ce que vous pouvez faire avec <i>Notification</i>"
"Upload lists of recipients and send personalised messages in bulk","Téléverser des listes de destinataires et envoyer des messages personnalisés en lot"
"Create templates and save them for future messages","Créer des gabarits et les enregistrer pour vos futurs messages"
"Track the status of the messages you send","Suivre l'état des messages que vous envoyez"
"See how <i>Notify</i> can improve your workflow","Découvrir comment <i>Notification</i> peut améliorer votre travail"
"Integrate <i>Notify</i> into your system","Intégration de <i>Notification</i> à votre système"
"You can integrate <i>Notify</i> with your current system to take advantage of secure, cloud-based messaging tools.","Vous pouvez intégrer les outils d’informatique en nuage de <i>Notification</i> à votre application Web ou à votre système administratif pour envoyer des messages de façon sécuritaire."
"<i>Notify</i> supports roles and permissions, so that you can adjust which staff have access to send or edit messages.","<i>Notification</i> prend en charge les rôles et les autorisations, afin que vous puissiez modifier quels employés ont l’accès requis pour envoyer ou modifier des messages."
"Learn how to integrate <i>Notify</i>","Découvrir comment intégrer l'API <i>Notification</i>"
"<i>Notify</i> is free for Government of Canada services","<i>Notification</i> est gratuit pour les services du gouvernement du Canada"
"Use <i>Notify</i> for free and replace paper letters or costly third-party messaging services.","Vous pouvez utiliser <i>Notification</i> afin de remplacer vos lettres papier ou vos services de messagerie tiers coûteux."
"Send unlimited emails, completely free.","Envoyer un nombre illimité de courriels, tout à fait gratuitement."
"<i>Notify</i> is a service managed by the Canadian Digital Service — no external procurement.","<i>Notification</i> est un service géré par le Service numérique canadien, sans autres achats externes."
"Learn more about pricing","En savoir plus sur les coûts"
"Notify by the numbers","Notification en chiffres"
"Since November 2019","Depuis novembre 2019"
"services using Notify","services qui utilisent Notification"
"email notifications sent","notifications envoyées"
"Try <i>Notify</i> now","Essayer <i>Notification</i> maintenant"
"Create an account and start sending test messages right away!","Vous pouvez creér un compte et envoyez dès maintenant vos premiers messages!"
"Request type","Type de demande"
"You need to log in again","Vous devez vous reconnecter"
"We logged you out because you logged in to Notify on another device.","Nous vous avons déconnecté parce que vous êtes connecté à Notification sur un autre appareil."
"We logged you out because you haven’t used Notify for a while.","Nous vous avons déconnecté parce que vous n'avez pas utilisé Notification depuis un certain temps."
"If you do not have an account, you can","Si vous n’avez pas de compte, vous pouvez "
"create one now","en créer un maintenant"
"These terms apply to use of <i>Notify</i>. Your account manager must accept them.","Ces conditions s’appliquent à l’utilisation de <i>Notification</i>. Votre gestionnaire de compte doit les accepter."
"When using <i>Notify</i>","Lorsque vous utilisez <i>Notification</i> :"
"Follow Canadian law with regard to the Privacy Act when using this software.","Respectez la loi canadienne (notamment la Loi sur la protection des renseignements personnels) lorsque vous utilisez ce logiciel."
"You must:","Vous devez :"
"complete all security steps required by your organisation.","prendre toutes les mesures de sécurité requises par votre organisation."
"tell us immediately if you have any security breaches.","nous aviser immédiatement de toute atteinte à la sécurité."
"keep your API (Application Programming Interface) codes secure. API technology allows different software applications to communicate with each other.","veiller à la sécurité de vos codes d’API. La technologie des API permet à différentes applications logicielles de communiquer entre elles."
"get consent to send messages and to use data. This consent must meet standards set by privacy legislation including the federal Privacy Act.","obtenir le consentement requis pour pouvoir envoyer des messages et utiliser des données. Ce consentement doit être conforme aux normes établies par les lois sur la protection de la vie privée, notamment la <i>Loi sur la protection des renseignements personnels.</i>"
"check that the data you add to <i>Notify</i> is accurate and complies with privacy legislation including the federal Privacy Act.","vous assurer que les données que vous ajoutez à <i>Notification</i> sont exactes et conformes aux lois sur la protection de la vie privée, notamment la <i>Loi sur la protection des renseignements personnels.</i>"
"not send messages containing any personally or commercially sensitive information.","vous abstenir d’envoyer des messages contenant des renseignements personnels ou commerciaux de nature délicate."
"not send unsolicited messages. Messages must be about transactions or subscriptions. Please follow the <a href=""https://www.gov.uk/service-manual/design/sending-emails-and-text-messages#transactional-messages"">transaction</a> and <a href=""https://www.gov.uk/service-manual/design/sending-emails-and-text-messages#subscription-messages"">subscription</a> criteria in the GOV.UK Service Manual. Please remember that other parts of the GOV.UK Manual may not apply in the Canadian context.","vous abstenir d’envoyer des messages non sollicités. Les messages doivent porter sur des transactions ou des abonnements. Veuillez respecter les critères relatifs aux transactions et aux abonnements aux pages suivantes du manuel sur les normes relatives aux services publics du Royaume-Uni (en anglais) : <a href=""https://www.gov.uk/service-manual/design/sending-emails-and-text-messages#transactional-messages"">transactions</a> et <a href=""https://www.gov.uk/service-manual/design/sending-emails-and-text-messages#subscription-messages"">abonnements</a>. Veuillez garder à l’esprit que les autres sections du manuel pourraient ne pas s’appliquer au contexte canadien."
"If you don’t follow these terms, we may need to stop sending your messages.","Si vous ne respectez pas ces conditions, nous pourrions être dans l’obligation de cesser d’envoyer vos messages."
"<i>Notify</i> will:","<i>Notification</i> va :"
"send the messages you write, as long as these messages comply with our terms of use.","envoyer les messages que vous rédigez, dans la mesure où ces messages sont conformes à nos conditions d’utilisation."
"show how <i>Notify</i> is working through our <a href=""https://www.gov.uk/performance/govuk-notify"">performance</a> and <a href=""https://status.notifications.service.gov.uk/"">status</a> pages.","vous montrer comment <i>Notification</i> fonctionne dans les pages suivantes : <a href=""https://www.gov.uk/performance/govuk-notify"">Performance</a> et <a href= ""https://status.notifications.service.gov.uk/ "">État</a>. "
"keep your data <a href=""/features/security"">secure</a>.","assurer la <a href=""/fonctionalités/sécurité"">sécurité</a> de vos données."
"give you one month’s notice by email if we change our terms of use or delivery providers.","vous envoyer un préavis d’un mois par courriel en cas de modification des conditions d’utilisation ou des fournisseurs."
"Leaving <i>Notify</i>","Quitter <i>Notification</i>"
"You can leave <i>Notify</i> at any time. Just","Vous pouvez quitter <i>Notification</i> en tout temps. Vous n'avez qu’à"
"and we’ll close your account.","et nous fermerons votre compte."
"We’ll delete all your data when we close your account.","Nous supprimerons toutes vos données au moment de fermer votre compte."
"Check your mobile number","Vérifiez votre numéro de téléphone cellulaire"
"Check your mobile phone number is correct and then resend the security code.","Vérifiez que votre numéro de téléphone cellulaire est correct et renvoyez le code de sécurité."
"Mobile phone number","Numéro de téléphone cellulaire"
"Resend security code","Renvoyer le code de sécurité"
"Trial mode","Mode d’essai"
"When you set up a new service it will start in trial mode. This lets you try out <i>Notify</i>, with a few restrictions.","Lorsque vous configurez un nouveau service, il commencera en mode d’essai. Cela vous laisse essayer <i>Notification</i>, avec quelques restrictions."
"A service in trial mode can only:","Un service en mode d’essai vous limite à :"
"send 50 text messages and emails per day","envoyer 50 messages texte et courriels par jour"
"send messages to you and other people in your team","envoyer des messages à vous et aux autres personnes dans votre équipe"
"create letter templates, but not send them","créer des gabarits de lettre, mais sans pouvoir les envoyer"
"send us a request to go live.","envoyer une demande d'activation de service."
"Before you can request to go live, you must:","Avant de faire une demande d'activation de service, vous devez :"
"sign our data sharing and financial agreement","signer notre entente de partage des données et notre entente financière "
"accept our terms of use","accepter nos conditions d’utilisation"
"set up your service so you’re ready to send and receive messages","configurer votre service de façon à être prêt à envoyer et recevoir des messages"
"When we receive your request we’ll get back to you within one working day.","Dès réception de votre demande, nous vous répondrons dans un délai d'un jour ouvrable."
"We’ve emailed you a link to log in to <i>Notify</i>.","Nous vous avons envoyé un lien par courriel pour vous connecter à <i>Notification</i>."
"Use the link to open <i>Notify</i> in a new browser window.","Utilisez le lien pour ouvrir <i>Notification</i> dans une nouvelle fenêtre."
"Not received an email?","Vous n’avez pas reçu de courriel?"
"We have found a Fido2 key associated with your account.","Nous avons trouvé une clé Fido2 associée à votre compte."
"Follow the browser window instructions to authenticate.","Suivre les instructions dans la fenêtre du navigateur pour vous authentifier."
"Text verification","Vérification par message texte"
"Check your phone messages","Vérifiez vos messages texte"
"Not received a text message?","Vous n’avez pas reçu de message texte?"
"We’ve sent you a text message with a security code.","Nous vous avons envoyé un code de sécurité par message texte."
"Your profile","Votre profil"
"Last changed ","Dernier changement"
"Security key(s)","Clé(s) de sécurité"
"Use platform admin view","Utiliser la vue de l’administrateur de la plateforme"
"Resend verification code","Renvoyer le code de vérification"
"Text messages sometimes take a few minutes to arrive. If you do not receive the text message, you can resend it.","Les messages texte peuvent prendre quelques minutes à arriver. Si vous ne recevez pas le message texte, vous pouvez le renvoyer."
"If you no longer have access to the phone with the number you registered for this service, speak to your service manager to reset the number.","Si vous n’avez plus accès au téléphone correspondant au numéro que vous avez enregistré pour ce service, communiquez avec votre gestionnaire de service pour réinitialiser le numéro."
"Confirm your mobile number","Confirmer votre numéro de téléphone cellulaire"
"We’ve sent you a security code by text message.","Nous vous avons envoyé un code de sécurité par message texte."
"Enter security code","Entrez le code de sécurité"
"I haven’t received a text","Je n’ai pas reçu de message texte"
"No messages found &thinsp;(messages are kept for {} days)","Aucun message trouvé &thinsp; (les messages sont conservés pendant {} jours)"
"Before you can go live on <i>Notify</i>, your organisation needs to accept to our data sharing and financial agreement.","Avant d'activer votre service avec <i>Notification</i>, votre organisation doit accepter notre entente de partage des données et notre entente financière."
"There are different agreements for crown and non-crown organisations.","Il existe différentes ententes pour les sociétés d’État et les autres sociétés."
"Get in touch","Contactez-nous"
"to tell us whether or not you work for a crown organisation. If you’re not sure we’ll help you work it out.","pour nous dire si vous travaillez pour une société d’État ou non. Si vous ne le savez pas, nous pouvons vous aider."
"Your organisation","Votre organisation"
"has already accepted the <i>Notify</i> data sharing and financial agreement. You can","a déjà accepté l'entente de partage des données et l’entente financière de <i>Notification</i>. Vous pouvez"
"download a copy","télécharger une copie"
"The agreement contains commercially sensitive information, so don’t share it more widely than you need to.","L’entente contient des renseignements commerciaux sensibles, ne la partagez donc pas plus que nécessaire."
"To use <i>Notify</i> your organisation","Pour utiliser <i>Notification</i>, votre organisation"
"must accept the <i>Notify</i> data sharing and financial agreement.","doit accepter l'entente de partage des données et l’entente financière de <i>Notification</i>."
"This agreement only needs to be accepted once and will then cover all <i>Notify</i> services from","Cette entente ne doit être acceptée qu'une seule fois. Elle couvrira alors tous les services de <i>Notification</i> de"
"It needs to be accepted by, or on behalf of, someone who can sign contracts for your organisation.","Elle doit être acceptée par une personne qui peut signer des contrats pour votre organisation, ou au nom d'une telle personne."
"Download a copy of the agreement","Télécharger une copie de l’entente"
"Accept the data sharing and financial agreement","Accepter l'entente de partage des données et l’entente financière"
"The version number is on the front page, for example ‘3.6’","Le numéro de la version est sur la page de couverture, par exemple « 3,6 » "
"<i>Notify</i> data sharing and financial agreement","Entente de partage des données et entente financière de <i>Notification</i>"
"I confirm that I have the legal authority to accept the <i>Notify</i> data sharing and financial agreement","Je confirme que j’ai le pouvoir légal d’accepter l'entente de partage des données et l’entente financière de <i>Notification</i>"
"on behalf of","au nom de"
"and that","et que"
"will be bound by it.","y sera assujetti."
"Download the <i>Notify</i> data sharing and financial agreement","Télécharger l'entente de partage des données et l’entente financière de <i>Notification</i>"
"Download the agreement","Télécharger l’entente"
"for","pour"
"The agreement is confidential and should not be shared outside your organisation.","L’entente est confidentielle et ne devrait pas être partagée à l’extérieur de votre organisation. "
"This must be done by, or on behalf of, someone with the authority to sign contracts for","Cela doit être réalisé par une personne ayant le pouvoir de signer des contrats, ou au nom d'une telle personne, pour"
"Once accepted, the agreement covers all <i>Notify</i> services from","Une fois acceptée, l’entente couvre tous les services de <i>Notification</i> de"
"Download a copy of the data sharing and financial agreement","Télécharger une copie de l'entente de partage des données et de l'entente financière"
"Callbacks","Rappels"
"API integration for developers","Intégration de l’API pour les développeurs"
"API keys","Clés API"
"Safelist","Liste de confiance"
"Message log","Journal des messages"
"Refresh","Actualiser"
"When you send messages via the API they’ll appear here.","Lorsque vous envoyez des messages par l’API, ils apparaîtront ici."
"<i>Notify</i> deletes messages after 7 days.","<i>Notification</i> supprime les messages après 7 jours."
"View","Afficher"
"Only showing the first 50 messages.","Affiche seulement les 50 premiers messages."
"You haven’t created any API keys yet","Vous n’avez pas encore créé de clés API."
"total sends",""
"sms","sms"
"Key Type:","Type de clé :"
"Created:","Créé :"
"Last used","Dernière utilisation :"
"Revoked","Révoqué"
"Revoke","Révoquer"
"Create an API key","Créer une clé API"
"There was a problem with your safelist","Un problème est survenu avec votre liste de confiance."
"Fix these errors:","Corrigez ces erreurs :"
"Enter valid email addresses","Entrez des adresses courriels valides."
"Enter valid phone numbers","Entrez des numéros de téléphone valides."
"You and members of","Vous et les membres de"
"your team","votre équipe"
"are included in the safelist automatically.","êtes automatiquement inclus dans la liste de confiance."
"Callbacks for delivery receipts","Rappels pour les accusés de réception"
"When you send an email or text message, we can tell you if <i>Notify</i> was able to deliver it. Check the","Lorsque vous envoyez un courriel ou un message texte, nous pouvons vous dire si <i>Notification</i> a réussi à le livrer. Vérifiez la"
"callback documentation","documentation des rappels"
"Must start with https://","Doit commencer par https://"
"At least 10 characters","Au moins 10 caractères"
"Callbacks for received text messages","Rappels pour les messages texte reçus"
"When you receive a text message in <i>Notify</i>, we can forward it to your system. Check the","Lorsque vous recevez un message texte dans <i>Notification</i>, nous pouvons le transférer à votre système. Vérifiez le"
"Name for this key","Nom de la clé"
"New API key","Nouvelle clé API"
"Copy your key to somewhere safe.","Copiez votre clé à un endroit sûr."
"You won’t be able to see it again once you leave this page.","Vous ne serez pas en mesure de la voir à nouveau une fois que vous aurez quitté cette page."
"Back to API keys","Retour aux clés API"
"a column called","une colonne appelée"
"columns called","colonne appelée"
"Skip to file contents","Aller au contenu du fichier"
"Error","Erreur"
"Your file has too many rows","Votre fichier a trop de rangées"
"<i>Notify</i> can process up to","<i>Notification</i> peut traiter jusqu’à"
"rows at once. Your file has","rangées à la fois. Votre fichier a"
"rows.","rangées."
"Your file is missing some rows","Il manque des rangées à votre fichier"
"It needs at least one row of data, and","Il doit y avoir au moins une rangée de données et"
"It needs at least one row of data.","Il doit y avoir au moins une rangée de données."
"Your file needs","Votre fichier doit avoir"
"Right now it has","À l'heure actuelle, il a"
"Your file has more than one column called","Votre fichier possède plus d’une colonne nommée"
"Delete or rename one of these columns and try again.","Supprimez ou renommez l’une de ces colonnes, puis réessayez."
"and","et"
"The columns in your file need to match the double brackets in your template","Les colonnes de votre fichier doivent correspondre aux parenthèses doubles comprises dans votre gabarit"
"Your file is missing","Il manque à votre fichier"
"Re-upload your file","Téléverser de nouveau votre fichier"
"Back to top","Retour au haut de la page"
"Only showing the first","Ne montre que la première"
"rows","rangées"
"rows with errors","rangées avec des erreurs"
"Only showing rows with errors","Ne montre que les rangées avec des erreurs"
"Preview of","Aperçu de"
"Recipients","Destinataires"
"Schedule notifications","Programmer les notifications"
"When would you like to send","Quand souhaitez-vous envoyer"
"Later","Plus tard"
"Download as a PDF","Télécharger en PDF"
"There is a problem with","Il y a un problème avec"
"You need to","Vous avez besoin de"
"There are some problems with","Il y a quelques problèmes avec"
"You need to:","Vous avez besoin de :"
"Send a text message to this phone number","Envoyer un message texte à ce numéro de téléphone"
"sent","envoyé"
"sent-dashboard-single","envoyé"
"sent-dashboard-plural","envoyés"
"Templates used","Gabarits utilisés"
"No messages sent","Aucun message envoyé"
"Messages sent","Messages envoyés"
"In the last 7 days","Dans les 7 derniers jours"
"Check messages sent per month","Voir les messages envoyés par mois"
"Check templates used by month","Voir les gabarits utilisés par mois"
"See all uploaded files","Voir tous les fichiers téléversés"
"Messages sent,","Messages envoyés"
"fiscal year","exercice financier"
"Total spend","Total dépensé"
"Month","Mois"
"Fiscal year ends 31 March.","L’exercice financier se termine le 31 mars."
"Provided as PDF","Fourni en PDF"
"Get started","Vous êtes prêt à commencer"
"Write an email, text message, or letter","Écrivez un courriel, un message texte ou une lettre"
"Write an email or text message","Écrivez un courriel ou un message texte"
"Logos should be PNG files, 108px high","Les logos doivent être en format PNG et d’une hauteur de 108 pixels"
"New brand","Nouvelle image marque"
"Send an unlimited number of free emails with <i>Notify</i>.","Vous pouvez envoyer gratuitement un nombre illimité de courriels avec <i>Notification</i>."
"and try <i>Notify</i> for yourself.","et essayez <i>Notification</i> pour vous-mêmes."
"<i>Notify</i> makes it easy to:","<i>Notification</i> facilite :"
"create reusable email templates","la création de gabarits de courriels réutilisables"
"personalise the content of your emails","la personnalisation du contenu de vos courriels"
"send and schedule bulk messages","la planification et l’envoi de messages en lot"
"Your developers can also","Vos développeurs peuvent également"
"integrate with our API","intégrer notre API"
"to send emails automatically.","pour envoyer des courriels automatiquement."
"Add a reply-to address","Ajout d'une adresse de réponse"
"<i>Notify</i> lets you choose the email address where users can send their reply.","<i>Notification</i> vous permet de sélectionner l’adresse courriel à laquelle les utilisateurs peuvent répondre."
"Emails with a reply-to address seem more trustworthy and are less likely to be labelled as spam.","Les courriels possédant une adresse de réponse semblent plus dignes de confiance et sont moins susceptibles d’être identifiés comme du pourriel. "
"You can add reply-to addresses in your service settings.","Vous pouvez ajouter des adresses de réponse dans vos paramètres de service."
"Pricing","Coûts"
"It’s free to send emails through <i>Notify</i>.","L’envoi de courriels avec <i>Notification</i> est gratuit."
"Template Formatting","Mise en forme des gabarits"
"Send thousands of free text messages to Canadian and international numbers with <i>Notify</i>.","Envoyez des milliers de messages texte gratuits à des numéros canadiens et internationaux à l’aide de <i>Notification</i>."
"and try <i>Notify</i> for yourself","et essayez <i>Notification</i> pour vous-mêmes."
"create reusable text message templates","la création de gabarits de messages texte réutilisables"
"personalise the content of your texts","la personnalisation du contenu de vos messages texte"
"to send text messages automatically","pour envoyer des messages texte automatiquement"
"Display your sender name","Affichage de votre nom d'expéditeur"
"When <i>Notify</i> sends your message, the text displays your service name. This shows people that the message is from your service. You can change the text message sender name in your service settings.","Lorsque <i>Notification</i> envoie votre message texte, celui-ci affiche le nom de votre service pour que les gens sachent la provenance du message. Vous pouvez modifier le nom de l'expéditeur des messages texte dans vos paramètres de service."
"You can send 25,000 free text messages per year from each service you create.","Vous pouvez envoyer 25 000 messages texte gratuits par année pour chacun des services que vous créez."
"Find services by name","Chercher des services par leur nom"
"Find services by name, or by partial name","Chercher des services par leur nom ou par une partie du nom"
"No services found.","Aucun service trouvé."
"Find users by email","Chercher des utilisateurs par courriel"
"Find users by email, or by partial email","Chercher des utilisateurs par leur courriel ou par une partie de courriel"
"No users found.","Aucun utilisateur trouvé."
"User information for","Renseignements de l’utilisateur pour"
