"location","source","target"
"app/templates/views/activity.html:46","Notifications sent over time",""
"app/templates/views/activity.html:51","Download data as CSV",""
"app/templates/views/activity.html:58 app/templates/views/dashboard/monthly.html:75","Month",""
"app/templates/views/activity.html:59","Total",""
"app/templates/views/activity.html:79","Updated daily",""
"app/templates/views/add-inbound-sms-admin.html:8","Add an inbound SMS",""
"app/templates/views/add-inbound-sms-admin.html:12","Add an inbound SMS number",""
"app/templates/views/add-inbound-sms-admin.html:17","Number, like 12345678901",""
"app/templates/views/added-inbound-sms-admin.html:5 app/templates/views/added-inbound-sms-admin.html:12","Inbound SMS number added successfully",""
"app/templates/views/added-inbound-sms-admin.html:16","Back to inbound SMS numbers",""
"app/templates/views/added-inbound-sms-admin.html:17","You have added:",""
"app/templates/views/cancelled-invitation.html:2","Invitation has been cancelled",""
"app/templates/views/cancelled-invitation.html:7","The invitation you were sent has been cancelled",""
"app/templates/views/cancelled-invitation.html:10","decided to cancel this invitation.",""
"app/templates/views/cancelled-invitation.html:13","If you need access to",""
"app/templates/views/cancelled-invitation.html:13",", you’ll have to ask them to invite you again.",""
"app/templates/views/change-email-continue.html:9 app/templates/views/registration-continue.html:9","Check your email​",""
"app/templates/views/change-email-continue.html:10 app/templates/views/registration-continue.html:10 app/templates/views/resend-email-verification.html:12","We’ve sent a link to {}.",""
"app/templates/views/change-email-continue.html:11","Use the link in the email to confirm the change to your email address.",""
"app/templates/views/choose-account.html:26","live service",""
"app/templates/views/choose-account.html:46 app/templates/views/choose-account.html:115","Add new service",""
"app/templates/views/choose-account.html:72 app/templates/views/organisations/add-organisation.html:15 app/templates/views/organisations/index.html:7","All organisations",""
"app/templates/views/choose-account.html:74","organisations",""
"app/templates/views/choose-account.html:74","live services",""
"app/templates/views/choose-account.html:124","To join an existing service, check your email for an invitation from the team for that service.  GC Notify staff cannot send these invitations.",""
"app/templates/views/choose-account.html:126","If you do not have an invitation",""
"app/templates/views/choose-account.html:128","Ask which team members have permission to invite you. If the team is unsure, from a GC Notify account visit the main menu and select “Team members.” That page:",""
"app/templates/views/choose-account.html:130","Includes an invitation button at the top of the page, if the member is permitted to send invitations.",""
"app/templates/views/choose-account.html:131","Lists permitted tasks under the name of each member.",""
"app/templates/views/edit-email-template.html:23","There was a problem with your submission. Please check the errors below.",""
"app/templates/views/edit-email-template.html:30 app/templates/views/edit-sms-template.html:24","Back to template {}",""
"app/templates/views/edit-email-template.html:31 app/templates/views/edit-sms-template.html:25","Step 2 of 2",""
"app/templates/views/edit-email-template.html:37 app/templates/views/edit-sms-template.html:30","How to use sample template",""
"app/templates/views/edit-email-template.html:39 app/templates/views/edit-sms-template.html:32","Replace sample content with your own content. For example, replace -Add description of appointment- with your content.",""
"app/templates/views/edit-email-template.html:40 app/templates/views/edit-sms-template.html:33","Give full name and acronym at first mention of your agency or department.",""
"app/templates/views/edit-email-template.html:41 app/templates/views/edit-sms-template.html:34","Delete any sample content that you do not need. <b>We recommend keeping messages short and to the point.</b>",""
"app/templates/views/edit-email-template.html:42 app/templates/views/edit-sms-template.html:35","If adding more content, use simple words, inclusive language and short sentences. For more on plain language, visit canada.ca's <a href='https://design.canada.ca/style-guide/'>content style guide</a>",""
"app/templates/views/edit-email-template.html:46 app/templates/views/edit-sms-template.html:39","Quick tips for English messages",""
"app/templates/views/edit-email-template.html:48 app/templates/views/edit-sms-template.html:41","Avoid words like 'please' and 'sorry'.",""
"app/templates/views/edit-email-template.html:49 app/templates/views/edit-sms-template.html:42","Use active voice. For example 'We may dismiss your application' instead of 'Your application will be dismissed'.",""
"app/templates/views/edit-email-template.html:50 app/templates/views/edit-sms-template.html:43","Use commands to give instructions, for example 'Reschedule' instead of 'You should reschedule'.",""
"app/templates/views/edit-email-template.html:51 app/templates/views/edit-sms-template.html:44","Use positive contractions like 'We're meeting'.",""
"app/templates/views/edit-email-template.html:52 app/templates/views/edit-sms-template.html:45","Spell out negative contractions like 'We cannot meet'.",""
"app/templates/views/edit-email-template.html:56 app/templates/views/edit-sms-template.html:49","Quick tips for French messages",""
"app/templates/views/edit-email-template.html:58 app/templates/views/edit-sms-template.html:51","Write short and clear texts by starting with the most important information and avoiding unnecessary content that could distract the reader. Instead of 'Lors de votre arrivée sur les lieux, merci de bien vouloir fournir une preuve d'identité, qu'il s'agisse d'un passeport ou d'un autre document délivré par le gouvernement fédéral', use 'À votre arrivée, présentez un document d'identité fédéral.'",""
"app/templates/views/edit-email-template.html:59 app/templates/views/edit-sms-template.html:52","Use simple words and avoid jargon. For example, instead of 'Le dossier sera traité conformément au principe de caducité' use 'Le dossier sera fermé, car il n'est plus valide'.",""
"app/templates/views/edit-email-template.html:60 app/templates/views/edit-sms-template.html:53","Use gender neutral wording as much as possible. You can use words that have one form to indicate either sex, like individu ('individual') or personne ('person') to replace femme ('woman') or homme ('man'). For groups of people, use neutral collective terms to avoid specifying the gender (for instance, use the term personnel ['the staff'] rather than the gendered plural les employés or employées ['the employees'].)",""
"app/templates/views/edit-email-template.html:61 app/templates/views/edit-sms-template.html:54","Use the active or passive voice based on the context. Active or passive voice may be options to avoid gendered sentences. Use the voice that reads most naturally in French.",""
"app/templates/views/edit-email-template.html:62 app/templates/views/edit-sms-template.html:55","Use the positive form as much as possible and reserve the negative for when consequences could be grave or fatal. Avoid double negations and exceptions to exceptions, which could confuse readers.",""
"app/templates/views/edit-email-template.html:76 app/templates/views/edit-sms-template.html:81","This will not show in the message. Use a name that helps you find the template when you need it.",""
"app/templates/views/edit-email-template.html:77","Tell recipients what the email is about. Try to use less than 10 words.",""
"app/templates/views/edit-email-template.html:88 app/templates/views/edit-sms-template.html:90","Template category",""
"app/templates/views/edit-email-template.html:90 app/templates/views/edit-sms-template.html:92","Template categories help improve delivery of your messages",""
"app/templates/views/edit-email-template.html:94 app/templates/views/edit-sms-template.html:96","This is only manageable by platform admins",""
"app/templates/views/edit-email-template.html:104 app/templates/views/edit-email-template.html:106","Use ((unsub_link)) for one-click unsubscribe",""
"app/templates/views/api/callbacks/delivery-status-callback.html:49 app/templates/views/api/callbacks/received-text-messages-callback.html:45 app/templates/views/api/safelist.html:77 app/templates/views/edit-email-template.html:114 app/templates/views/edit-letter-template.html:20 app/templates/views/edit-sms-template.html:98 app/templates/views/edit-user-permissions.html:41 app/templates/views/email-branding/branding-goc.html:32 app/templates/views/email-branding/branding-preview.html:26 app/templates/views/email-branding/manage-branding.html:40 app/templates/views/find-users/user-information.html:104 app/templates/views/letter-branding/manage-letter-branding.html:33 app/templates/views/manage-users/edit-user-email.html:21 app/templates/views/manage-users/edit-user-mobile.html:23 app/templates/views/organisations/add-organisation.html:30 app/templates/views/organisations/organisation/settings/edit-agreement.html:28 app/templates/views/organisations/organisation/settings/edit-crown-status.html:21 app/templates/views/organisations/organisation/settings/edit-domains.html:31 app/templates/views/organisations/organisation/settings/edit-go-live-notes.html:20 app/templates/views/organisations/organisation/settings/edit-name/index.html:20 app/templates/views/organisations/organisation/settings/edit-type.html:19 app/templates/views/organisations/organisation/settings/preview-email-branding.html:18 app/templates/views/organisations/organisation/settings/preview-letter-branding.html:17 app/templates/views/organisations/organisation/users/user/index.html:24 app/templates/views/providers/edit-provider.html:29 app/templates/views/service-settings/branding/manage-email-branding.html:45 app/templates/views/service-settings/data-retention/edit.html:21 app/templates/views/service-settings/email-reply-to/edit.html:8 app/templates/views/service-settings/email_from.html:25 app/templates/views/service-settings/letter-contact/edit.html:40 app/templates/views/service-settings/name.html:33 app/templates/views/service-settings/set-email.html:23 app/templates/views/service-settings/set-free-sms-allowance.html:19 app/templates/views/service-settings/set-inbound-number.html:24 app/templates/views/service-settings/set-international-sms.html:23 app/templates/views/service-settings/set-letter-contact-block.html:27 app/templates/views/service-settings/set-letter.html:28 app/templates/views/service-settings/set-message-limit.html:19 app/templates/views/service-settings/set-reply-to-email.html:39 app/templates/views/service-settings/set-service-setting.html:26 app/templates/views/service-settings/set-sms.html:25 app/templates/views/service-settings/sms-prefix.html:8 app/templates/views/service-settings/sms-sender/add.html:30 app/templates/views/service-settings/sms-sender/edit.html:10 app/templates/views/service-settings/sms-sender/edit.html:49 app/templates/views/templates/add-template-folder.html:17 app/templates/views/templates/edit-template-postage.html:21 app/templates/views/templates/manage-template-folder.html:37 app/templates/views/templates/preview_template.html:20 app/templates/views/templates/template_category.html:40 app/templates/views/user-profile/change-mobile-number.html:32 app/templates/views/user-profile/change-password.html:23 app/templates/views/user-profile/change.html:28 app/templates/views/user-profile/disable-platform-admin-view.html:22","Save",""
"app/templates/views/edit-email-template.html:114 app/templates/views/edit-sms-template.html:98 app/templates/views/email-branding/branding-pool.html:36 app/templates/views/organisations/organisation/settings/set-email-branding.html:32 app/templates/views/organisations/organisation/settings/set-letter-branding.html:30 app/templates/views/service-settings/set-letter-branding.html:30","Preview",""
"app/templates/views/edit-email-template.html:126 app/templates/views/edit-email-template.html:127","loading...",""
"app/templates/views/edit-letter-template.html:9","letter template",""
"app/templates/views/edit-sms-template.html:60","Best practices for text messages",""
"app/templates/views/edit-sms-template.html:63","Write clear and concise messages. Visit ",""
"app/templates/views/edit-sms-template.html:64","Tips for EN messages",""
"app/templates/views/edit-sms-template.html:66","Tips for FR messages",""
"app/templates/views/edit-sms-template.html:68","Use links to connect recipients to more information.",""
"app/templates/views/edit-sms-template.html:84","<span id=""sms-char-count-current""></span> of {} characters maximum.",""
"app/templates/views/edit-user-permissions.html:17","Yes, remove",""
"app/templates/views/edit-user-permissions.html:43","Remove {} from this team",""
"app/templates/views/email-not-received.html:5 app/templates/views/email-not-received.html:12 app/templates/views/email-not-received.html:15 app/templates/views/text-not-received-2.html:24 app/templates/views/text-not-received.html:17 app/templates/views/verification-not-received.html:11 app/templates/views/verification-not-received.html:19","Re-send security code",""
"app/templates/views/email-not-received.html:13","Sometimes email messages take a few minutes to arrive. If you don’t receive the email, you can re-send it.",""
"app/templates/views/email-not-received.html:17","Has your email address changed since you joined GC Notify? Please ask your service manager to reset it.",""
"app/templates/views/emails.html:11","Send an unlimited number of free emails with GC Notify.",""
"app/templates/views/emails.html:13 app/templates/views/pricing/index.html:23 app/templates/views/register-from-invite.html:9 app/templates/views/register-from-invite.html:16 app/templates/views/register-from-org-invite.html:7 app/templates/views/register-from-org-invite.html:14 app/templates/views/register.html:9 app/templates/views/register.html:16 app/templates/views/text-messages.html:13","Create an account",""
"app/templates/views/emails.html:13","and try it for yourself.",""
"app/templates/views/emails.html:17 app/templates/views/text-messages.html:17","GC Notify makes it easy to:",""
"app/templates/views/emails.html:19","create reusable email templates",""
"app/templates/views/emails.html:20","personalise the content of your emails",""
"app/templates/views/emails.html:21 app/templates/views/text-messages.html:21","send and schedule bulk messages",""
"app/templates/views/emails.html:23 app/templates/views/text-messages.html:22","Your developers can also",""
"app/templates/views/emails.html:23 app/templates/views/text-messages.html:22","integrate with our API",""
"app/templates/views/emails.html:23","to send emails automatically.",""
"app/templates/views/emails.html:25","Add a reply-to address",""
"app/templates/views/emails.html:26","GC Notify lets you choose the email address where users can send their reply.",""
"app/templates/views/emails.html:27","Emails with a reply-to address seem more trustworthy and are less likely to be labelled as spam.",""
"app/templates/views/emails.html:28","You can add reply-to addresses in your service settings.",""
"app/templates/views/emails.html:29 app/templates/views/pricing/index.html:8 app/templates/views/pricing/index.html:13 app/templates/views/text-messages.html:26","Pricing",""
"app/templates/views/emails.html:30 app/templates/views/pricing/index.html:32","It’s free to send emails through GC Notify.",""
"app/templates/views/forced-password-reset.html:7 app/templates/views/forced-password-reset.html:14","You need a new password",""
"app/templates/views/forced-password-reset.html:16","As a security precaution, all users of GC Notify must change their password.",""
"app/templates/views/forced-password-reset.html:18","Check your email. If you did not receive the link,",""
"app/templates/views/forced-password-reset.html:18","contact support.",""
"app/templates/views/forced-password-reset.html:20","To learn why you need to change your password, read",""
"app/templates/views/forced-password-reset.html:20","incidents and service interruptions.",""
"app/templates/views/forgot-password.html:7 app/templates/views/new-password.html:7 app/templates/views/new-password.html:16 app/templates/views/password-expired-link-expired.html:7","Create a new password",""
"app/templates/views/forgot-password.html:14 app/templates/views/signin.html:32","Forgot your password?",""
"app/templates/views/forgot-password.html:16 app/templates/views/password-expired-link-expired.html:16","We’ll send you an email to create a new password.",""
"app/templates/views/forgot-password.html:17 app/templates/views/password-expired-link-expired.html:17","Send email",""
"app/templates/views/inbound-sms-admin.html:69 app/templates/views/user-profile.html:18","Add number",""
"app/templates/views/invite-user.html:9 app/templates/views/invite-user.html:14 app/templates/views/organisations/organisation/users/invite-org-user.html:9","Invite a team member",""
"app/templates/views/invite-user.html:15 app/templates/views/organisations/organisation/users/invite-org-user.html:31","Send invitation email",""
"app/templates/views/login_events.html:5 app/templates/views/login_events.html:12","Sign-in history",""
"app/templates/views/manage-users.html:18","Yes, leave team",""
"app/templates/views/manage-users.html:19","You’re leaving the team for",""
"app/templates/views/manage-users.html:22","For this service, you will not be able to:",""
"app/templates/views/manage-users.html:29","To rejoin this team, you’ll need an invitation from a team member.",""
"app/templates/views/manage-users.html:40","You should have at least two team members who can manage settings.",""
"app/templates/views/manage-users.html:52","Invite someone to join your team",""
"app/templates/views/manage-users.html:68 app/templates/views/organisations/organisation/users/index.html:33","invited",""
"app/templates/views/manage-users.html:70 app/templates/views/organisations/organisation/users/index.html:35","cancelled invite",""
"app/templates/views/manage-users.html:72 app/templates/views/organisations/organisation/users/index.html:37","you",""
"app/templates/views/manage-users.html:94","Cannot see any folders",""
"app/templates/views/manage-users.html:96","Can see",""
"app/templates/views/manage-users.html:98","Can see all folders",""
"app/templates/views/manage-users.html:105","Signs in with a Fido2 key",""
"app/templates/views/manage-users.html:107","Signs in with a text message code",""
"app/templates/views/manage-users.html:109","Signs in with an email code",""
"app/templates/views/manage-users.html:117 app/templates/views/organisations/organisation/users/index.html:47","Cancel invitation",""
"app/templates/views/manage-users.html:119","Change details for",""
"app/templates/views/manage-users.html:119","Change details",""
"app/templates/views/manage-users.html:122","Leave team",""
"app/templates/views/messages-status.html:4 app/templates/views/messages-status.html:8","Message delivery status",""
"app/templates/views/new-password.html:19","Your password must have:",""
"app/templates/views/new-password.html:22","Uppercase and lowercase characters.",""
"app/templates/views/new-password.html:23","Numbers and special characters.",""
"app/templates/views/new-password.html:24","Words separated by a space.",""
"app/templates/views/new-password.html:27","Avoid using common passwords or passwords similar to your name, email address or other personal information.",""
"app/templates/views/new-password.html:30 app/templates/views/register-from-invite.html:27 app/templates/views/register-from-org-invite.html:22 app/templates/views/register.html:26","Must be at least 8 characters and hard to guess",""
"app/templates/views/new-password.html:37","Email address does not exist.",""
"app/templates/views/notifications.html:21 app/templates/views/notifications.html:27"," in the past {} days",""
"app/templates/views/password-expired-link-expired.html:14","You need to create a new password",""
"app/templates/views/password-expired-link-expired.html:16","GC Notify needs you to create a new password for this account.",""
"app/templates/views/password-reset-sent.html:13","Use the link in the email to reset your password.",""
"app/templates/views/register-from-invite.html:18","Your account will be created with this email address:",""
"app/templates/views/register-from-invite.html:23 app/templates/views/register-from-org-invite.html:19 app/templates/views/register.html:22","Use a work number where we can reach you",""
"app/templates/views/register-from-org-invite.html:15","Your account will be created with this email:",""
"app/templates/views/register.html:19","Use a government email address only you can access, not a shared inbox",""
"app/templates/views/registration-continue.html:11 app/templates/views/resend-email-verification.html:13","Use the link to continue creating an account.",""
"app/templates/views/roadmap.html:5 app/templates/views/roadmap.html:10","Roadmap",""
"app/templates/views/roadmap.html:12","Coming soon",""
"app/templates/views/s3-send.html:8","Choose a list of email addresses from Amazon S3",""
"app/templates/views/send-test.html:50","Upload file with recipients",""
"app/templates/views/send-test.html:61","Use a list of email addresses from Amazon S3",""
"app/templates/views/send.html:7","Prepare spreadsheet",""
"app/templates/views/send.html:25","GC Notify can help create your spreadsheet or you can use a spreadsheet from your files.",""
"app/templates/views/send.html:29","Create spreadsheet",""
"app/templates/views/send.html:31","For help, follow steps to create your spreadsheet",""
"app/templates/views/send.html:33","Step",""
"app/templates/views/send.html:34","GC Notify has created columns with headings for your variables. Copy and paste into your own empty spreadsheet or <a href={} download>download as an Excel file</a>.",""
"app/templates/views/send.html:50","Add rows with information for each recipient.",""
"app/templates/views/send.html:51","Name and save file.",""
"app/templates/views/send.html:55","Use your own spreadsheet",""
"app/templates/views/send.html:61","For compatibility with GC Notify, spreadsheets must:",""
"app/templates/views/send.html:63","Use {}, {}, {} or Excel format.",""
"app/templates/views/send.html:64","CSV",""
"app/templates/views/send.html:64","Comma Separated Values",""
"app/templates/views/send.html:65","TSV",""
"app/templates/views/send.html:65","Tab Separated Values",""
"app/templates/views/send.html:66","ODS",""
"app/templates/views/send.html:66","Open Document Spreadsheet",""
"app/templates/views/send.html:68","Have column headings for {}.",""
"app/templates/views/send.html:69","Not have any blank rows.",""
"app/templates/views/service-settings.html:19 app/templates/views/service-settings/request-to-go-live.html:39","Your request to go live is being reviewed",""
"app/templates/views/service-settings.html:21 app/templates/views/service-settings/request-to-go-live.html:38","We’ll be in touch within 2 business days.",""
"app/templates/views/service-settings.html:24","Your service is in trial mode",""
"app/templates/views/service-settings.html:28","To send notifications to more people, request to go live.",""
"app/templates/views/service-settings.html:34","Your service manager can ask to have these restrictions removed.",""
"app/templates/views/platform-admin/api_keys_ranked.html:22 app/templates/views/platform-admin/complaints.html:23 app/templates/views/platform-admin/services.html:38 app/templates/views/service-settings.html:42","Service",""
"app/templates/views/organisations/organisation/settings/index.html:13 app/templates/views/service-settings.html:43 app/templates/views/service-settings.html:91 app/templates/views/service-settings.html:184 app/templates/views/service-settings.html:268 app/templates/views/user-profile/security-keys.html:26","Label",""
"app/templates/views/organisations/organisation/settings/index.html:13 app/templates/views/service-settings.html:44 app/templates/views/service-settings.html:92 app/templates/views/service-settings.html:185 app/templates/views/service-settings.html:269 app/templates/views/user-profile/security-keys.html:27","Value",""
"app/templates/views/organisations/organisation/settings/index.html:13 app/templates/views/service-settings.html:45 app/templates/views/service-settings.html:93 app/templates/views/service-settings.html:186 app/templates/views/service-settings.html:270 app/templates/views/user-profile/security-keys.html:28","Action",""
"app/templates/views/service-settings.html:80 app/templates/views/service-settings.html:382","API rate limit per minute",""
"app/templates/views/service-settings.html:82","{} calls",""
"app/templates/views/service-settings.html:103 app/templates/views/service-settings/set-email.html:6","Send emails",""
"app/templates/views/service-settings.html:119 app/templates/views/service-settings/email_reply_to.html:7","Reply-to addresses",""
"app/templates/views/service-settings.html:130 app/templates/views/service-settings.html:400 app/templates/views/templates/choose.html:68 app/templates/views/user-profile.html:33","Manage",""
"app/templates/views/service-settings.html:143","Your branding<br> ({})",""
"app/templates/views/service-settings.html:156","(API-only)",""
"app/templates/views/service-settings.html:166 app/templates/views/service-settings.html:240","Daily maximum",""
"app/templates/views/service-settings.html:168 app/templates/views/service-settings.html:176","{} emails",""
"app/templates/views/service-settings.html:174 app/templates/views/service-settings.html:248","Annual maximum</br>(April 1 to March 31)",""
"app/templates/views/service-settings.html:196 app/templates/views/service-settings/set-sms.html:16","Send text messages",""
"app/templates/views/service-settings.html:212 app/templates/views/service-settings/sms-prefix.html:7","Start text messages with service name",""
"app/templates/views/service-settings.html:226 app/templates/views/service-settings/set-international-sms.html:6","Send international text messages",""
"app/templates/views/service-settings.html:258","Problems, questions, or comments? <a href='{}'>Contact us</a>.",""
"app/templates/views/service-settings.html:265","Platform admin settings",""
"app/templates/views/platform-admin/services.html:60 app/templates/views/service-settings.html:280","Live",""
"app/templates/views/service-settings.html:283","No (organisation must be set first)",""
"app/templates/views/service-settings.html:297","Count in list of live services",""
"app/templates/views/service-settings.html:310","Organisation",""
"app/templates/views/service-settings.html:347","Daily text message parts limit",""
"app/templates/views/service-settings.html:370","Annual text message parts limit",""
"app/templates/views/service-settings.html:389 app/templates/views/service-settings/sms-senders.html:8","Text message senders",""
"app/templates/views/service-settings.html:412 app/templates/views/service-settings/set-inbound-sms.html:7 app/templates/views/service-settings/set-inbound-sms.html:15","Receive text messages",""
"app/templates/views/service-settings.html:425 app/templates/views/service-settings/set-free-sms-allowance.html:15","Free text messages per fiscal year",""
"app/templates/views/service-settings.html:445","Data retention",""
"app/templates/views/service-settings.html:530","Delete this service",""
"app/templates/views/service-settings.html:536","Suspend service",""
"app/templates/views/service-settings.html:545","Service suspended",""
"app/templates/views/service-settings.html:549","Resume service",""
"app/templates/views/signin.html:15","You need to sign in again",""
"app/templates/views/signin.html:18","We signed you out because you signed in to GC Notify on another device.",""
"app/templates/views/signin.html:22","We signed you out because you haven’t used GC Notify for a while.",""
"app/templates/views/signin.html:28","If you do not have an account, you can",""
"app/templates/views/signin.html:29","create one now",""
"app/templates/views/signin.html:37","Your session ends after 8 hours of inactivity",""
"app/templates/views/terms-of-use.html:12","The following terms apply to use of GC Notify, a product operated by the Canadian Digital Service (CDS). GC Notify is available for use by Canadian federal departments and agencies to send service transaction updates.",""
"app/templates/views/terms-of-use.html:15","As a service owner, you must accept these terms prior to being able to use GC Notify to communicate with the public.",""
"app/templates/views/terms-of-use.html:18","To use the GC Notify service, you and your service team must:",""
"app/templates/views/terms-of-use.html:20","Get individuals’ consent to send messages and to use data they provide for this purpose.",""
"app/templates/views/terms-of-use.html:21","Ensure that your use of GC Notify complies with your organisation’s privacy requirements (including the <a id='link-terms-privacy' href='https://laws-lois.justice.gc.ca/ENG/ACTS/P-21/index.html'>Privacy Act</a> and any relevant departmental legislation or policies).",""
"app/templates/views/terms-of-use.html:22","Ensure that the data you add to GC Notify are accurate, and comply with applicable information management and data retention requirements.",""
"app/templates/views/terms-of-use.html:23","Complete all applicable privacy and security steps required by your organisation.",""
"app/templates/views/terms-of-use.html:24","Not send messages containing information above the classification level assessed for GC Notify (currently Protected A).",""
"app/templates/views/terms-of-use.html:25","Tell CDS immediately if you have any security breaches, and comply with applicable privacy requirements.",""
"app/templates/views/terms-of-use.html:26","Keep your API (application programming interface) keys secure.",""
"app/templates/views/terms-of-use.html:27","Pay for any SMS text message usage above the free allowance (currently 25,000 text messages per year).",""
"app/templates/views/terms-of-use.html:30","Using GC Notify also includes accepting the applicable <a id='link-terms-aws' href='https://aws.amazon.com/service-terms/'>terms of use of Amazon Web Services</a>, the underlying infrastructure provider.",""
"app/templates/views/terms-of-use.html:32","Departments and agencies using SMS text messages will pay for all text messages sent through GC Notify at the cost-rate charged by the provider to CDS, unless these messages are part of the free allocation. Each organisation can send 25,000 free text messages per year from each service created.",""
"app/templates/views/terms-of-use.html:35","Service teams can leave GC Notify at any time by emailing ",""
"app/templates/views/terms-of-use.html:35","CDS reserves the right to stop sending notifications on behalf of departments and agencies if they do not follow the terms listed above",""
"app/templates/views/terms-of-use.html:35",", in order to protect GC Notify’s technical infrastructure and other users of the service.",""
"app/templates/views/terms-of-use.html:39","For questions related to these terms of use, or to report an issue, <a id='link-terms-contact' href='{}'>contact us.</a>",""
"app/templates/views/text-messages.html:11","Send thousands of free text messages to Canadian and international numbers.",""
"app/templates/views/text-messages.html:13","and try it for yourself",""
"app/templates/views/text-messages.html:19","create reusable text message templates",""
"app/templates/views/text-messages.html:20","personalise the content of your texts",""
"app/templates/views/text-messages.html:22","to send text messages automatically",""
"app/templates/views/text-messages.html:23","Display your sender name",""
"app/templates/views/text-messages.html:24","When GC Notify sends your message, the text displays your service name. This shows people that the message is from your service. You can change the text message sender name in your service settings.",""
"app/templates/views/text-messages.html:27","You can send 25,000 free text messages per year from each service you create.",""
"app/templates/views/text-not-received-2.html:13 app/templates/views/text-not-received.html:7 app/templates/views/text-not-received.html:14","Check your mobile number",""
"app/templates/views/text-not-received-2.html:15 app/templates/views/text-not-received.html:16","Check that your mobile phone number is correct and then re-send the security code.",""
"app/templates/views/text-not-received-2.html:18","Mobile phone number",""
"app/templates/views/two-factor-email.html:17","Didn’t get an email?",""
"app/templates/views/two-factor-email.html:20","For added security, GC Notify has sent you an email message with a security code to confirm you still control a valid Government email address.",""
"app/templates/views/two-factor-email.html:24","We’ve sent you an email with a security code.",""
"app/templates/views/two-factor-fido.html:13","We have found a security key associated with your account.",""
"app/templates/views/two-factor-fido.html:14","Follow the browser window instructions to authenticate.",""
"app/templates/views/two-factor-sms.html:8","Text verification",""
"app/templates/views/two-factor-sms.html:15 app/templates/views/user-profile/confirm.html:8","Check your phone messages",""
"app/templates/views/two-factor-sms.html:17 app/templates/views/user-profile/confirm.html:26","Didn’t get a text message?",""
"app/templates/views/two-factor-sms.html:18","We’ve sent you a text message with a security code.",""
"app/templates/views/dashboard/all-template-statistics.html:21 app/templates/views/dashboard/monthly.html:25 app/templates/views/usage-with-letters.html:17 app/templates/views/usage.html:17","Filter by year",""
"app/templates/views/organisations/organisation/settings/index.html:18 app/templates/views/user-profile.html:16 app/templates/views/user-profile/security-keys.html:39","Name",""
"app/templates/views/user-profile.html:23","Last changed ",""
"app/templates/views/user-profile.html:25 app/templates/views/user-profile.html:27 app/templates/views/user-profile.html:30 app/templates/views/user-profile/2fa.html:8 app/templates/views/user-profile/2fa.html:13","Two-step verification method",""
"app/templates/views/user-profile.html:25","Code by email",""
"app/templates/views/user-profile.html:27","Code by text message",""
"app/templates/views/user-profile.html:30","Security key",""
"app/templates/views/user-profile.html:33","Security keys",""
"app/templates/views/user-profile.html:33","{} security key",""
"app/templates/views/user-profile.html:33","{} security keys",""
"app/templates/views/user-profile.html:35 app/templates/views/user-profile/disable-platform-admin-view.html:8 app/templates/views/user-profile/disable-platform-admin-view.html:16","Use platform admin view",""
"app/templates/views/user-profile.html:38","Account Management",""
"app/templates/views/user-profile.html:41","Deactivate your account",""
"app/templates/views/verification-not-received.html:4","Re-send verification code",""
"app/templates/views/verification-not-received.html:13","Text messages sometimes take a few minutes to arrive. If you do not receive the text message, you can re-send it.",""
"app/templates/views/verification-not-received.html:15","If you no longer have access to the phone with the number you registered for this service, speak to your service manager to reset the number.",""
"app/templates/views/verify-mobile.html:4 app/templates/views/verify-mobile.html:11","Confirm your mobile number",""
"app/templates/views/verify-mobile.html:13","We’ve sent you a security code by text message.",""
"app/templates/views/verify-mobile.html:16","Enter security code",""
"app/templates/views/verify-mobile.html:18","I haven’t received a text",""
"app/templates/views/welcome.html:4","Welcome to GC Notify - Create a service",""
"app/templates/views/welcome.html:9","Welcome to GC Notify",""
"app/templates/views/welcome.html:10","Create a service to get started",""
"app/templates/views/welcome.html:12","A service is a shared space where your team can write messages and track sending.",""
"app/templates/views/welcome.html:13","Your service starts in trial mode.",""
"app/templates/views/welcome.html:14","In <strong>trial mode</strong>, you can:",""
"app/templates/views/welcome.html:16","Send messages to yourself and members of your team.",""
"app/templates/views/welcome.html:17","Send up to 50 messages per day.",""
"app/templates/views/welcome.html:20","When you’re ready to send more than 50 messages per day, you can request to go live in settings.",""
"app/templates/views/welcome.html:21","Create your first service",""
"app/templates/views/welcome.html:23","Join an existing service",""
"app/templates/views/welcome.html:25","Check your email for an invitation from the team for that service. GC Notify staff cannot send these invitations.",""
"app/templates/views/welcome.html:26","If you do not have an invitation, ask your team.",""
"app/templates/views/activity/notifications.html:8","You have not sent messages recently",""
"app/templates/views/activity/notifications.html:8","Messages sent within the last {} days will show up here. Start with one of your templates to send messages.",""
"app/templates/views/activity/notifications.html:8 app/templates/views/dashboard/_upcoming.html:12 app/templates/views/email-branding/branding-request-submitted.html:26","Go to your templates",""
"app/templates/views/api/callbacks.html:9 app/templates/views/api/callbacks.html:14 app/templates/views/api/index.html:52","Callbacks",""
"app/templates/views/api/index.html:17","Integrating the API into your system allows you to automate notifications and send emails with attachments. Find out more in the <a href='{}'>API documentation</a>.",""
"app/templates/views/api/index.html:21","API settings",""
"app/templates/views/api/index.html:28 app/templates/views/api/keys.html:9 app/templates/views/api/keys.html:13","API keys",""
"app/templates/views/api/index.html:31","An API key lets you connect your application or system with GC Notify.",""
